year,driver,position,qualifying
2008.0,Lewis Hamilton,1,63172
2008.0,Fernando Alonso,12,63507
2008.0,Kimi Räikkönen,16,62740
2008.0,Kimi Räikkönen,2,64145
2008.0,Lewis Hamilton,4,63892
2008.0,Fernando Alonso,9,64483
2008.0,Lewis Hamilton,3,63950
2008.0,Kimi Räikkönen,4,63852
2008.0,Fernando Alonso,10,64147
2008.0,Kimi Räikkönen,1,62701
2008.0,Fernando Alonso,2,62447
2008.0,Lewis Hamilton,5,62466
2008.0,Lewis Hamilton,3,62792
2008.0,Kimi Räikkönen,4,63057
2008.0,Fernando Alonso,7,63436
2008.0,Kimi Räikkönen,2,62217
2008.0,Lewis Hamilton,3,62082
2008.0,Fernando Alonso,7,62246
2008.0,Lewis Hamilton,1,62509
2008.0,Kimi Räikkönen,3,62001
2008.0,Fernando Alonso,4,62115
2008.0,Kimi Räikkönen,1,61633
2008.0,Lewis Hamilton,3,62134
2008.0,Fernando Alonso,4,62254
2008.0,Kimi Räikkönen,3,62370
2008.0,Lewis Hamilton,4,62288
2008.0,Fernando Alonso,6,62998
2008.0,Lewis Hamilton,1,61718
2008.0,Fernando Alonso,5,62417
2008.0,Kimi Räikkönen,6,61701
2008.0,Lewis Hamilton,1,62276
2008.0,Kimi Räikkönen,6,62006
2008.0,Fernando Alonso,7,62229
2008.0,Lewis Hamilton,2,64264
2008.0,Kimi Räikkönen,4,64503
2008.0,Fernando Alonso,12,64068
2008.0,Lewis Hamilton,1,65487
2008.0,Kimi Räikkönen,4,65560
2008.0,Fernando Alonso,6,64854
2008.0,Fernando Alonso,8,63897
2008.0,Kimi Räikkönen,14,64465
2008.0,Lewis Hamilton,15,63894
2008.0,Lewis Hamilton,2,64901
2008.0,Kimi Räikkönen,3,64682
2008.0,Fernando Alonso,15,65371
2008.0,Lewis Hamilton,1,61871
2008.0,Kimi Räikkönen,2,61960
2008.0,Fernando Alonso,4,62090
2008.0,Lewis Hamilton,1,64066
2008.0,Kimi Räikkönen,2,64483
2008.0,Fernando Alonso,4,64269
2008.0,Kimi Räikkönen,3,61283
2008.0,Lewis Hamilton,4,61413
2008.0,Fernando Alonso,6,61414
2012.0,Lewis Hamilton,1,63400
2012.0,Fernando Alonso,12,63288
2012.0,Kimi Räikkönen,18,63458
2012.0,Lewis Hamilton,1,64513
2012.0,Kimi Räikkönen,5,64661
2012.0,Fernando Alonso,9,63951
2012.0,Lewis Hamilton,2,64363
2012.0,Kimi Räikkönen,5,64450
2012.0,Fernando Alonso,9,63892
2012.0,Lewis Hamilton,2,64213
2012.0,Fernando Alonso,9,64160
2012.0,Kimi Räikkönen,11,63952
2012.0,Lewis Hamilton,1,62783
2012.0,Fernando Alonso,3,62576
2012.0,Kimi Räikkönen,5,62706
2012.0,Lewis Hamilton,4,61663
2012.0,Fernando Alonso,6,61753
2012.0,Kimi Räikkönen,8,62389
2012.0,Lewis Hamilton,2,62291
2012.0,Fernando Alonso,3,62316
2012.0,Kimi Räikkönen,12,62395
2012.0,Lewis Hamilton,2,64069
2012.0,Kimi Räikkönen,5,64364
2012.0,Fernando Alonso,11,64309
2012.0,Fernando Alonso,1,65115
2012.0,Kimi Räikkönen,6,65009
2012.0,Lewis Hamilton,8,65133
2012.0,Fernando Alonso,1,61673
2012.0,Lewis Hamilton,8,61821
2012.0,Kimi Räikkönen,10,62193
2012.0,Lewis Hamilton,1,62894
2012.0,Kimi Räikkönen,5,62434
2012.0,Fernando Alonso,6,62295
2012.0,Kimi Räikkönen,4,65446
2012.0,Fernando Alonso,6,65301
2012.0,Lewis Hamilton,8,65505
2012.0,Lewis Hamilton,1,62611
2012.0,Kimi Räikkönen,8,62651
2012.0,Fernando Alonso,10,62575
2012.0,Lewis Hamilton,1,65085
2012.0,Fernando Alonso,5,65291
2012.0,Kimi Räikkönen,12,64969
2012.0,Fernando Alonso,7,63659
2012.0,Kimi Räikkönen,8,63421
2012.0,Lewis Hamilton,9,63361
2012.0,Lewis Hamilton,3,64080
2012.0,Fernando Alonso,4,64044
2012.0,Kimi Räikkönen,5,64687
2012.0,Lewis Hamilton,3,63116
2012.0,Fernando Alonso,5,63429
2012.0,Kimi Räikkönen,7,63340
2012.0,Lewis Hamilton,1,64597
2012.0,Kimi Räikkönen,5,64422
2012.0,Fernando Alonso,7,65039
2012.0,Lewis Hamilton,2,63758
2012.0,Kimi Räikkönen,5,63851
2012.0,Fernando Alonso,9,64668
2012.0,Lewis Hamilton,1,61575
2012.0,Fernando Alonso,8,61697
2012.0,Kimi Räikkönen,9,62032
2016.0,Lewis Hamilton,1,62851
2016.0,Kimi Räikkönen,4,63179
2016.0,Fernando Alonso,12,63137
2016.0,Lewis Hamilton,1,63491
2016.0,Kimi Räikkönen,4,63785
2016.0,Kimi Räikkönen,3,64047
2016.0,Fernando Alonso,12,64251
2016.0,Kimi Räikkönen,4,64576
2016.0,Lewis Hamilton,10,63606
2016.0,Fernando Alonso,14,64671
2016.0,Lewis Hamilton,1,62514
2016.0,Kimi Räikkönen,5,63096
2016.0,Fernando Alonso,10,62978
2016.0,Lewis Hamilton,3,62226
2016.0,Kimi Räikkönen,6,61999
2016.0,Fernando Alonso,10,62004
2016.0,Lewis Hamilton,1,61521
2016.0,Kimi Räikkönen,6,61877
2016.0,Fernando Alonso,10,61526
2016.0,Kimi Räikkönen,5,65336
2016.0,Lewis Hamilton,10,64659
2016.0,Fernando Alonso,14,65025
2016.0,Lewis Hamilton,1,61547
2016.0,Kimi Räikkönen,6,60940
2016.0,Fernando Alonso,14,61371
2016.0,Lewis Hamilton,1,63739
2016.0,Kimi Räikkönen,5,63426
2016.0,Fernando Alonso,10,63481
2016.0,Lewis Hamilton,2,63610
2016.0,Fernando Alonso,7,63665
2016.0,Kimi Räikkönen,14,64453
2016.0,Lewis Hamilton,2,61743
2016.0,Kimi Räikkönen,5,62252
2016.0,Fernando Alonso,14,61938
2016.0,Kimi Räikkönen,3,65612
2016.0,Lewis Hamilton,21,65033
2016.0,Lewis Hamilton,1,62954
2016.0,Kimi Räikkönen,4,62517
2016.0,Fernando Alonso,13,63083
2016.0,Lewis Hamilton,3,64667
2016.0,Kimi Räikkönen,5,65364
2016.0,Fernando Alonso,9,64873
2016.0,Lewis Hamilton,1,63844
2016.0,Kimi Räikkönen,6,63956
2016.0,Fernando Alonso,22,63855
2016.0,Lewis Hamilton,2,63418
2016.0,Kimi Räikkönen,3,63774
2016.0,Fernando Alonso,15,64019
2016.0,Lewis Hamilton,1,63896
2016.0,Kimi Räikkönen,5,64585
2016.0,Fernando Alonso,12,64613
2016.0,Lewis Hamilton,1,62347
2016.0,Kimi Räikkönen,6,62454
2016.0,Fernando Alonso,11,62552
2016.0,Lewis Hamilton,1,61611
2016.0,Kimi Räikkönen,3,61300
2016.0,Fernando Alonso,10,61900
2016.0,Lewis Hamilton,1,64387
2016.0,Kimi Räikkönen,4,64338
2016.0,Fernando Alonso,9,64716
